iter	Passed	Remaining
615	20945	13056
616	20979	13023
617	21013	12988
618	21047	12955
619	21080	12920
620	21114	12886
621	21148	12852
622	21180	12817
623	21215	12783
624	21249	12749
625	21282	12714
626	21317	12681
627	21351	12647
628	21386	12614
629	21420	12580
630	21453	12545
631	21487	12511
632	21521	12477
633	21558	12445
634	21592	12411
635	21625	12376
636	21659	12343
637	21693	12308
638	21728	12275
639	21763	12242
640	21801	12210
641	21836	12176
642	21872	12143
643	21909	12111
644	21944	12078
645	21979	12044
646	22012	12009
647	22045	11975
648	22078	11940
649	22111	11906
650	22144	11871
651	22178	11837
652	22211	11803
653	22244	11768
654	22278	11734
655	22314	11701
656	22351	11668
657	22387	11636
658	22424	11603
659	22459	11570
660	22492	11535
661	22527	11501
662	22562	11468
663	22597	11435
664	22634	11402
665	22670	11369
666	22704	11335
667	22739	11301
668	22774	11268
669	22808	11234
670	22842	11200
671	22880	11168
672	22915	11134
673	22950	11100
674	22985	11067
675	23021	11034
676	23054	10999
677	23087	10964
678	23122	10931
679	23157	10897
680	23192	10863
681	23225	10829
682	23259	10795
683	23293	10761
684	23327	10727
685	23362	10693
686	23396	10659
687	23431	10625
688	23465	10591
689	23498	10557
690	23531	10522
691	23565	10488
692	23599	10454
693	23633	10420
694	23667	10386
695	23702	10352
696	23738	10319
697	23771	10284
698	23805	10250
699	23840	10217
700	23878	10184
701	23913	10151
702	23949	10118
703	23984	10084
704	24016	10049
705	24049	10015
706	24084	9981
707	24119	9947
708	24153	9913
709	24185	9878
710	24218	9843
711	24251	9809
712	24283	9774
713	24318	9740
714	24353	9707
715	24388	9673
716	24425	9640
717	24461	9607
718	24496	9573
719	24530	9539
720	24567	9506
721	24600	9472
722	24658	9447
723	24699	9415
724	24733	9381
725	24766	9347
726	24803	9313
727	24835	9279
728	24869	9245
729	24903	9210
730	24939	9177
731	24973	9143
732	25008	9109
733	25042	9075
734	25076	9041
735	25109	9006
736	25142	8972
737	25176	8938
738	25210	8903
739	25243	8869
740	25276	8834
741	25310	8800
742	25343	8766
743	25376	8731
744	25410	8697
745	25445	8663
746	25478	8629
747	25514	8595
748	25550	8562
749	25583	8527
750	25617	8493
751	25653	8460
752	25687	8425
753	25720	8391
754	25756	8357
755	25789	8323
756	25823	8289
757	25858	8255
758	25892	8221
759	25927	8187
760	25964	8154
761	26004	8122
762	26038	8087
763	26071	8053
764	26105	8019
765	26138	7984
766	26172	7950
767	26206	7916
768	26240	7882
769	26273	7847
770	26306	7813
771	26340	7779
772	26373	7744
773	26407	7710
774	26441	7676
775	26477	7642
776	26513	7609
777	26547	7575
778	26583	7541
779	26616	7507
780	26652	7473
781	26687	7439
782	26722	7405
783	26757	7371
784	26791	7337
785	26827	7304
786	26861	7269
787	26895	7235
788	26928	7201
789	26963	7167
790	27001	7134
791	27036	7100
792	27069	7066
793	27101	7031
794	27134	6997
795	27168	6962
796	27202	6928
797	27235	6894
798	27268	6859
799	27304	6826
800	27338	6791
801	27371	6757
802	27405	6723
803	27440	6689
804	27477	6656
805	27514	6622
806	27550	6588
807	27585	6554
808	27618	6520
809	27655	6487
810	27689	6452
811	27724	6418
812	27758	6384
813	27792	6350
814	27826	6316
815	27860	6282
816	27896	6248
817	27932	6214
818	27969	6181
819	28005	6147
820	28041	6113
821	28076	6079
822	28111	6045
823	28146	6011
824	28179	5977
825	28211	5942
826	28246	5908
827	28280	5874
828	28312	5840
829	28345	5805
830	28379	5771
831	28413	5737
832	28447	5703
833	28480	5668
834	28515	5634
835	28550	5600
836	28584	5566
837	28620	5532
838	28654	5498
839	28689	5464
840	28723	5430
841	28758	5396
842	28791	5362
843	28826	5328
844	28861	5294
845	28895	5259
846	28929	5225
847	28965	5191
848	28999	5157
849	29036	5124
850	29072	5090
851	29110	5056
852	29146	5022
853	29178	4988
854	29212	4954
855	29245	4919
856	29277	4885
857	29310	4850
858	29343	4816
859	29377	4782
860	29410	4748
861	29443	4713
862	29475	4679
863	29507	4644
864	29543	4610
865	29579	4576
866	29613	4542
867	29650	4509
868	29686	4475
869	29721	4441
870	29755	4407
871	29790	4372
872	29823	4338
873	29855	4304
874	29887	4269
875	29920	4235
876	29952	4200
877	29984	4166
878	30016	4131
879	30052	4098
880	30085	4063
881	30119	4029
882	30153	3995
883	30189	3961
884	30222	3927
885	30256	3892
886	30292	3859
887	30326	3824
888	30358	3790
889	30390	3756
890	30423	3721
891	30475	3689
892	30508	3655
893	30542	3621
894	30577	3587
895	30612	3553
896	30646	3519
897	30681	3484
898	30714	3450
899	30748	3416
900	30781	3382
901	30814	3347
902	30847	3313
903	30879	3279
904	30912	3245
905	30944	3210
906	30978	3176
907	31011	3142
908	31044	3107
909	31078	3073
910	31114	3039
911	31147	3005
912	31180	2971
913	31212	2936
914	31246	2902
915	31279	2868
916	31312	2834
917	31344	2799
918	31376	2765
919	31408	2731
920	31441	2696
921	31475	2662
922	31509	2628
923	31544	2594
924	31581	2560
925	31617	2526
926	31652	2492
927	31686	2458
928	31720	2424
929	31754	2390
930	31788	2355
931	31820	2321
932	31853	2287
933	31885	2253
934	31918	2218
935	31952	2184
936	31985	2150
937	32020	2116
938	32054	2082
939	32087	2048
940	32122	2014
941	32154	1979
942	32201	1946
943	32234	1912
944	32267	1877
945	32303	1843
946	32338	1809
947	32371	1775
948	32405	1741
949	32438	1707
950	32470	1673
951	32503	1638
952	32539	1604
953	32574	1570
954	32609	1536
955	32649	1502
956	32683	1468
957	32719	1434
958	32752	1400
959	32786	1366
960	32819	1331
961	32852	1297
962	32885	1263
963	32919	1229
964	32952	1195
965	32985	1160
966	33018	1126
967	33054	1092
968	33087	1058
969	33136	1024
970	33169	990
971	33202	956
972	33235	922
973	33269	888
974	33302	853
975	33338	819
976	33372	785
977	33404	751
978	33437	717
979	33471	683
980	33505	648
981	33539	614
982	33574	580
983	33609	546
984	33644	512
985	33677	478
986	33709	444
987	33744	409
988	33777	375
989	33810	341
990	33845	307
991	33879	273
992	33911	239
993	33944	204
994	33978	170
995	34012	136
996	34046	102
997	34080	68
998	34114	34
999	34145	0
